Weighted Average Deposit and Lending Rates of Deposit Money Banks (Per Cent),,,
Period,Savings,Prime,Maximum
1960,0,0,0
1961,4.00,7.00,8.00
1962,3.00,7.00,8.00
1963,3.00,7.00,8.00
1964,3.50,7.00,8.00
1965,3.50,7.00,8.00
1966,3.50,7.00,8.00
1967,3.50,7.00,8.00
1968,3.00,7.00,8.00
1969,3.00,7.00,8.00
1970,3.00,7.00,8.00
1971,3.00,7.00,10.00
1972,3.00,7.00,10.00
1973,3.00,7.00,10.00
1974,3.00,7.00,10.00
1975,4.00,6.00,9.00
1976,4.00,6.00,10.00
1977,4.00,6.00,6.00
1978,4.00,7.00,11.00
1979,5.00,7.50,11.00
1980,6.00,7.50,9.50
