Weighted Average Deposit and Lending Rates of Deposit Money Banks (Per Cent),,,
Period,Savings,Prime,Maximum
1981, 6.00 , 7.75 , 10.00 
1982, 7.50 , 10.25 , 11.75 
1983, 7.50 , 10.00 , 11.50 
1984, 9.50 , 12.50 , 13.00 
1985, 9.50 , 9.25 , 11.75 
1986, 9.50 , 10.50 , 12.00 
1987, 14.00 , 17.50 , 19.20 
1988, 14.50 , 16.50 , 17.60 
1989, 16.40 , 26.80 , 24.60 
1990, 18.80 , 25.50 , 27.70 
1991, 14.29 , 20.01 , 20.80 
1992, 16.10 , 29.80 , 31.20 
1993, 16.66 , 18.32 , 36.09 
1994, 13.50 , 21.00 , 21.00 
1995, 12.61 , 20.18 , 20.79 
1996, 11.69 , 19.74 , 20.86 
1997, 4.80 , 13.54 , 23.32 
1998, 5.49 , 18.29 , 21.34 
1999, 5.33 , 21.32 , 27.19 
2000, 5.29 , 17.98 , 21.55 
2001, 5.49 , 18.29 , 21.34 
2002, 4.15 , 24.85 , 30.19 
2003, 4.11 , 20.71 , 22.88 
2004, 4.19 , 19.18 , 20.82 
2005, 3.83 , 17.95 , 19.49 
2006, 3.14 , 17.26 , 18.70 
2007, 3.55 , 16.94 , 18.36 
2008, 2.84 , 15.14 , 18.70 
2009, 2.68 , 18.99 , 22.62 
2010, 2.21 , 17.59 , 22.51 
2011, 1.41 , 16.02 , 22.42 
2012, 1.70 , 16.79 , 23.79 
2013, 2.17 , 16.72 , 24.69 
2014, 3.38 , 16.55 , 25.74 
2015, 3.58 , 16.85 , 26.71 
2016, 3.75 , 16.87 , 27.29 
2017, 4.13 , 17.56 , 30.60 
2018, 4.07 , 19.33 , 28.16 
2019, 3.95 , 15.53 , 30.57 
2020, 3.22 , 12.32 , 28.64 
2021, 1.69 , 11.48 , 28.06 
Q1, 1.84 , 11.20 , 28.53 
Q2, 1.83 , 11.40 , 28.69 
Q3, 1.64 , 11.64 , 27.70 
Q4, 1.45 , 11.70 , 27.31 
2022, 2.34 , 12.34 , 28.37 
Q1, 1.26 , 11.80 , 29.36 
Q2, 1.34 , 12.03 , 27.59 
Q3, 2.81 , 12.29 , 27.99 
Q4, 3.94 , 13.25 , 28.53 
Source: Central Bank of Nigeria,,,
