Money Market Interest Rates (Per cent) ,,,,,,,
,Central Bank,,,Deposit Money Banks,,,
,Minimum ,Monetary Policy Rate,Treasury,        Deposit Rates ( Period Weighted Average),,,
,Rediscount,,Bill Rate,,,,Over 12
Period,Rates,,,3 Months,6   Months,12   Months, Months
1960,6.25- 4.50,0,6.63-4.00,0,0,0,0
1961,5.25- 4.50,0,4.75- 4.0,4.00,4.00,4.00,4.50
1962,5.24- 4.50,0,4.75- 4.0,3.00,3.00,3.00,3.50
1963,4.00,0,3.50,3.00,3.00,3.00,3.50
1964,5.00- 4.00,0,3.50,3.50,3.50,3.50,3.75
1965,5.00,0,4.50- 3.50,3.50,3.50,3.60,4.00
1966,5.00,0,4.50,3.50,3.50,3.60,4.00
1967,5.00,0,4.50,3.50,3.50,3.25,4.00
1968,5.00- 4.5,0,4.50-3.50,3.00,3.00,3.25,3.50
1969,4.50,0,4.00,3.00,3.00,4.50,3.50
1970,4.50,0,4.00,3.00,3.00,3.50,4.00
1971,4.50,0,4.00,3.00,3.00,3.50-4.00,4.00
1972,4.50,0,4.00,3.00,3.50,3.50,4.00
1973,4.50,0,4.00,3.00,3.50,3.50-4.00,4.00
1974,4.50,0,4.00,3.00,3.50,3.00-3.50,4.00
1975,4.50 - 3.50,0,4.50-2.50,3.00,3.00-3.50,3.00-3.50,4.00
1976,3.50,0,2.50,3.00-2.50,3.00-3.50,2.00-5.25,3.00-3.50
1977,4.00,0,3.00,3.50-3.00,3.00-3.50,5.50,3.00-3.50
1978,5.00,0,4.00,2.00-4.75,2.50,6.25,3.00-3.50
1979,5.00,0,4.00,4.75,5.00,6.25,5.50
1980,6.00,0,5.00,5.50,6.00,7.75,6.50
