 Quarterly Monetary Aggregates (₦' Billion),,,,,,,,,,,,,,
Period,NFA,NCG,CPS,CCP,CSLG,RM,M1,QM,M2,CBS,M3,PSDD,Reserves,CIC
,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,
Q1, 5.80 , 1.89 , 0.00 , 7.94 , 0.00 , 2.98 , 7.19 , 5.66 , 12.85 , 0.00 , 0.00 , 5.32 , 0.71 , 2.27 
Q2, 5.77 , 1.84 , 8.44 , 8.44 , 0.00 , 2.86 , 7.42 , 5.76 , 13.18 , 0.00 , 0.00 , 5.54 , 0.55 , 2.31 
Q3, 4.36 , 3.76 , 9.19 , 9.19 , 0.00 , 2.06 , 6.85 , 6.28 , 13.13 , 0.00 , 0.00 , 5.91 , 0.70 , 1.36 
Q4, 2.59 , 6.53 , 9.67 , 9.67 , 0.00 , 5.03 , 9.92 , 6.25 , 16.16 , 0.00 , 0.00 , 6.05 , 0.68 , 4.35 
1982,,,,,,,,,,,,,,
Q1, 1.06 , 6.18 , 10.42 , 10.42 , 0.00 , 4.66 , 9.06 , 6.93 , 15.99 , 0.00 , 0.00 , 5.33 , 0.48 , 4.18 
Q2, 0.70 , 6.85 , 10.94 , 10.94 , 0.00 , 4.88 , 9.18 , 7.31 , 16.49 , 0.00 , 0.00 , 5.44 , 0.71 , 4.17 
Q3, 0.71 , 6.22 , 11.16 , 11.16 , 0.00 , 5.22 , 9.42 , 7.63 , 17.04 , 0.00 , 0.00 , 5.58 , 0.97 , 4.26 
Q4, 0.89 , 10.66 , 11.61 , 11.61 , 0.00 , 5.78 , 10.29 , 7.80 , 18.09 , 0.00 , 0.00 , 6.07 , 1.06 , 4.73 
1983,,,,,,,,,,,,,,
Q1, 0.67 , 8.65 , 11.61 , 11.61 , 0.00 , 5.85 , 9.57 , 7.78 , 17.35 , 0.00 , 0.00 , 5.36 , 1.27 , 4.58 
Q2, 0.52 , 11.26 , 11.69 , 11.69 , 0.00 , 5.31 , 10.18 , 8.32 , 18.51 , 0.00 , 0.00 , 5.96 , 0.67 , 4.64 
Q3, 0.56 , 13.58 , 11.74 , 11.74 , 0.00 , 5.41 , 11.36 , 8.87 , 20.23 , 0.00 , 0.00 , 6.85 , 0.49 , 4.91 
Q4, 0.50 , 16.45 , 12.24 , 12.24 , 0.00 , 6.11 , 11.52 , 9.36 , 20.88 , 0.00 , 0.00 , 6.68 , 0.81 , 5.30 
1984,,,,,,,,,,,,,,
Q1, 0.63 , 15.99 , 12.42 , 12.42 , 0.00 , 6.26 , 11.36 , 9.76 , 21.12 , 0.00 , 0.00 , 6.50 , 1.01 , 5.25 
Q2, 0.91 , 16.52 , 12.52 , 12.52 , 0.00 , 4.82 , 11.06 , 10.35 , 21.41 , 0.00 , 0.00 , 7.47 , 0.82 , 4.00 
Q3, 0.77 , 16.50 , 12.41 , 12.41 , 0.00 , 5.93 , 11.82 , 10.35 , 22.17 , 0.00 , 0.00 , 7.18 , 0.86 , 5.07 
Q4, 1.11 , 19.13 , 12.90 , 12.90 , 0.00 , 5.92 , 12.50 , 10.87 , 23.37 , 0.00 , 0.00 , 7.61 , 0.57 , 5.35 
1985,,,,,,,,,,,,,,
Q1, 1.13 , 16.63 , 12.99 , 12.99 , 0.00 , 5.73 , 11.92 , 11.13 , 23.05 , 0.00 , 0.00 , 7.41 , 0.86 , 4.87 
Q2, 1.04 , 17.55 , 13.13 , 13.13 , 0.00 , 5.62 , 12.36 , 11.56 , 23.92 , 0.00 , 0.00 , 8.00 , 0.87 , 4.75 
Q3, 0.57 , 20.64 , 13.44 , 13.44 , 0.00 , 5.66 , 13.59 , 12.05 , 25.64 , 0.00 , 0.00 , 9.12 , 0.81 , 4.85 
Q4, 1.42 , 20.32 , 14.14 , 14.14 , 0.00 , 5.72 , 13.88 , 12.40 , 26.28 , 0.00 , 0.00 , 8.97 , 0.34 , 5.38 
1986,,,,,,,,,,,,,,
Q1, 1.17 , 16.97 , 14.75 , 14.75 , 0.00 , 5.86 , 13.60 , 13.00 , 26.59 , 0.00 , 0.00 , 8.67 , 0.60 , 5.26 
Q2, 1.13 , 17.75 , 15.32 , 15.32 , 0.00 , 5.82 , 12.81 , 13.30 , 26.11 , 0.00 , 0.00 , 8.07 , 0.64 , 5.19 
Q3, 1.96 , 17.52 , 16.88 , 16.88 , 0.00 , 5.97 , 14.68 , 14.82 , 29.51 , 0.00 , 0.00 , 9.80 , 0.64 , 5.33 
Q4, 5.37 , 19.55 , 18.30 , 18.30 , 0.00 , 6.67 , 13.56 , 13.83 , 27.39 , 0.00 , 0.00 , 8.38 , 0.97 , 5.70 
1987,,,,,,,,,,,,,,
Q1, 4.70 , 20.10 , 18.77 , 18.77 , 0.00 , 6.08 , 12.48 , 14.08 , 26.55 , 0.00 , 0.00 , 7.60 , 0.77 , 5.31 
Q2, 1.34 , 19.04 , 19.51 , 19.51 , 0.00 , 6.00 , 12.19 , 15.27 , 27.46 , 0.00 , 0.00 , 7.36 , 0.70 , 5.30 
