,,,,,,
Selected Financial Ratios of Commercial Banks (Percentage),,,,,,
   Period, Liquidity Ratio,,Cash Reserve Ratio,Cash Reserve Ratio,Loan-to-Deposit Ratio,
,Actual1,"Prescribed
 Minimum",Prescribed ,"Prescribed (Public 
Sector Funds)",Actual1,"Prescribed 
Maximum"
1981,38.5,,,,74.50,
1982,40.5,,,,84.60,
1983,54.7,,,,83.80,
1984,65.1,,,,81.90,
1985,65.0,,,,66.90,
1986,36.4,,,,83.20,
1987,46.5,,,,72.90,
1988,45.0,,,,66.90,
1989,40.3,,,,80.40,
1990,44.3,,,,66.50,
1991,38.6,,,,59.80,
1992,29.1,,,,55.20,
1993,42.2,,,,42.90,
1994,48.5,,,,60.90,
1995,33.1,,,,73.30,
1996,43.1,,,,72.90,
1997,40.2,,,,76.60,
1998,46.8,,,,74.40,
1999,61.0,,,,54.60,
2000,64.1,,,,51.00,
2001,52.9,,,,65.63,
2002,52.5,,,,62.78,
2003,50.9,,,,61.85,
2004,50.5,,,,68.63,
2005,50.2,,,,70.80,
2006,81.42,,,,96.82,
2007,41.56,40.0,,,83.26,80.00
2008,37.72,35.0,3.0,,86.91,80.00
2009,26.39,25.0,1.3,,84.30,80.00
2010,27.39,25.0,1.0,,52.29,80.00
2011,42.02,30.0,8.0,,44.77,80.00
2012,49.72,30.0,12.0,,42.31,80.00
2013,46.23,30.0,12.0,50.00,37.56,80.00
2014,38.27,30.0,20.0,75.00,63.61,80.00
2015,42.35,30.0,20.0,20.00,69.58,80.00
2016,45.95,30.0,22.5,22.50,79.95,80.00
2017,54.79,30.0,22.5,22.50,72.84,80.00
2018,65.04,30.0,22.5,22.50,60.16,80.00
2019,104.20,30.0,22.50,22.50,58.73,80.00
2020,67.60,30.0,27.50,27.50,60.33,80.00
Q1,78.04,30.0,27.50,27.50,60.69,80.00
Q2,65.11,30.0,27.50,27.50,62.68,80.00
Q3,61.79,30.0,27.50,27.50,59.61,80.00
Q4 ,65.45,30.0,27.50,27.50,58.35,80.00
2021,61.20,30.0,27.50,27.50,60.48,80.00
Q1,64.99,30.0,27.50,27.50,58.39,80.00
Q2,63.88,30.0,27.50,27.50,61.97,80.00
Q3,61.03,30.0,27.50,27.50,62.43,80.00
Q4 ,54.88,30.0,27.50,27.50,59.12,80.00
2022,54.93,30.0,27.50,27.50,61.70,80.00
Q1,55.82,30.0,27.50,27.50,58.81,80.00
Q2,54.22,30.0,27.50,27.50,60.23,80.00
Q3,56.69,30.0,27.50,27.50,64.79,80.00
Q4 ,53.01,30.0,27.50,27.50,62.95,80.00
